service_id,date,exception_type
Special#8,20200604,1
Special#8,20200605,1
Special#8,20200608,1
Special#8,20200609,1
Special#8,20200610,1
Special#8,20200612,1
Special#8,20200615,1
Special#8,20200616,1
Special#8,20200617,1
Special#8,20200618,1
Special#8,20200619,1
Special#8,20200622,1
Special#8,20200623,1
Special#8,20200624,1
Special#8,20200625,1
Special#8,20200626,1
Special#8,20200629,1
Special#8,20200630,1
Special#8,20200701,1
Special#8,20200702,1
Special#8,20200703,1
Special#8,20200706,1
Special#8,20200707,1
Special#8,20200708,1
Special#8,20200709,1
Special#8,20200710,1
Special#8,20200713,1
Special#8,20200714,1
Special#8,20200715,1
Special#8,20200716,1
Special#8,20200717,1
Special#8,20200720,1
Special#8,20200721,1
Special#8,20200722,1
Special#8,20200723,1
Special#8,20200724,1
Special#8,20200727,1
Special#8,20200728,1
Special#8,20200729,1
Special#8,20200730,1
Special#8,20200731,1
Special#8,20200803,1
Special#8,20200804,1
Special#8,20200805,1
Special#8,20200806,1
Special#8,20200807,1
Special#8,20200810,1
Special#8,20200811,1
Special#8,20200812,1
Special#8,20200813,1
Special#8,20200814,1
Special#8,20200817,1
Special#8,20200818,1
Special#8,20200819,1
Special#8,20200820,1
Special#8,20200821,1
Special#8,20200824,1
Special#8,20200825,1
Special#8,20200826,1
Special#8,20200827,1
Special#8,20200828,1
Special#8,20200831,1
Special#8,20200901,1
Special#8,20200902,1
Special#8,20200903,1
Special#8,20200904,1
Special#8,20200907,1
Special#9,20200224,1
Special#9,20200225,1
Special#9,20200226,1
Special#9,20200227,1
Special#9,20200228,1
Special#9,20200406,1
Special#9,20200407,1
Special#9,20200408,1
Special#9,20200409,1
Special#9,20200414,1
Special#9,20200415,1
Special#9,20200416,1
Special#9,20200417,1
Special#9,20200420,1
Special#9,20200421,1
Special#9,20200422,1
Special#9,20200423,1
Special#9,20200424,1
Special#9,20200602,1
Special#9,20200603,1
Special#9,20200604,1
Special#9,20200605,1
Special#9,20200608,1
Special#9,20200609,1
Special#9,20200610,1
Special#9,20200612,1
Special#9,20200727,1
Special#9,20200728,1
Special#9,20200729,1
Special#9,20200730,1
Special#9,20200731,1
Special#9,20200803,1
Special#9,20200804,1
Special#9,20200805,1
Special#9,20200806,1
Special#9,20200807,1
Special#9,20200810,1
Special#9,20200811,1
Special#9,20200812,1
Special#9,20200813,1
Special#9,20200814,1
Special#9,20200817,1
Special#9,20200818,1
Special#9,20200819,1
Special#9,20200820,1
Special#9,20200821,1
Special#9,20200824,1
Special#9,20200825,1
Special#9,20200826,1
Special#9,20200827,1
Special#9,20200828,1
Special#9,20200831,1
Special#9,20200901,1
Special#9,20200902,1
Special#9,20200903,1
Special#9,20200904,1
Special#9,20200907,1
Special#10,20200203,1
Special#10,20200204,1
Special#10,20200205,1
Special#10,20200206,1
Special#10,20200210,1
Special#10,20200211,1
Special#10,20200212,1
Special#10,20200213,1
Special#10,20200217,1
Special#10,20200218,1
Special#10,20200219,1
Special#10,20200220,1
Special#10,20200224,1
Special#10,20200225,1
Special#10,20200226,1
Special#10,20200227,1
Special#10,20200302,1
Special#10,20200303,1
Special#10,20200304,1
Special#10,20200305,1
Special#10,20200309,1
Special#10,20200310,1
Special#10,20200311,1
Special#10,20200312,1
Special#10,20200316,1
Special#10,20200317,1
Special#10,20200318,1
Special#10,20200319,1
Special#10,20200323,1
Special#10,20200324,1
Special#10,20200325,1
Special#10,20200326,1
Special#10,20200330,1
Special#10,20200331,1
Special#10,20200401,1
Special#10,20200402,1
Special#10,20200406,1
Special#10,20200407,1
Special#10,20200408,1
Special#10,20200409,1
Special#10,20200414,1
Special#10,20200415,1
Special#10,20200416,1
Special#10,20200420,1
Special#10,20200421,1
Special#10,20200422,1
Special#10,20200423,1
Special#10,20200427,1
Special#10,20200428,1
Special#10,20200429,1
Special#10,20200430,1
Special#10,20200504,1
Special#10,20200505,1
Special#10,20200506,1
Special#10,20200507,1
Special#10,20200511,1
Special#10,20200512,1
Special#10,20200513,1
Special#10,20200514,1
Special#10,20200518,1
Special#10,20200519,1
Special#10,20200520,1
Special#10,20200525,1
Special#10,20200526,1
Special#10,20200527,1
Special#10,20200528,1
Special#10,20200602,1
Special#10,20200603,1
Special#10,20200604,1
Special#10,20200608,1
Special#10,20200609,1
Special#10,20200610,1
Special#10,20200615,1
Special#10,20200616,1
Special#10,20200617,1
Special#10,20200618,1
Special#10,20200622,1
Special#10,20200623,1
Special#10,20200624,1
Special#10,20200625,1
Special#10,20200629,1
Special#10,20200630,1
Special#10,20200701,1
Special#10,20200702,1
Special#10,20200706,1
Special#10,20200707,1
Special#10,20200708,1
Special#10,20200709,1
Special#10,20200713,1
Special#10,20200714,1
Special#10,20200715,1
Special#10,20200716,1
Special#10,20200720,1
Special#10,20200721,1
Special#10,20200722,1
Special#10,20200723,1
Special#10,20200727,1
Special#10,20200728,1
Special#10,20200729,1
Special#10,20200730,1
Special#10,20200803,1
Special#10,20200804,1
Special#10,20200805,1
Special#10,20200806,1
Special#10,20200810,1
Special#10,20200811,1
Special#10,20200812,1
Special#10,20200813,1
Special#10,20200817,1
Special#10,20200818,1
Special#10,20200819,1
Special#10,20200820,1
Special#10,20200824,1
Special#10,20200825,1
Special#10,20200826,1
Special#10,20200827,1
Special#10,20200831,1
Special#10,20200901,1
Special#10,20200902,1
Special#10,20200903,1
Special#10,20200907,1
Special#11,20200207,1
Special#11,20200214,1
Special#11,20200221,1
Special#11,20200228,1
Special#11,20200306,1
Special#11,20200313,1
Special#11,20200320,1
Special#11,20200327,1
Special#11,20200403,1
Special#11,20200417,1
Special#11,20200424,1
Special#11,20200508,1
Special#11,20200515,1
Special#11,20200522,1
Special#11,20200529,1
Special#11,20200605,1
Special#11,20200612,1
Special#11,20200619,1
Special#11,20200626,1
Special#11,20200703,1
Special#11,20200710,1
Special#11,20200717,1
Special#11,20200724,1
Special#11,20200731,1
Special#11,20200807,1
Special#11,20200814,1
Special#11,20200821,1
Special#11,20200828,1
Special#11,20200904,1
Special#12,20200203,1
Special#12,20200207,1
Special#12,20200210,1
Special#12,20200214,1
Special#12,20200217,1
Special#12,20200221,1
Special#12,20200224,1
Special#12,20200228,1
Special#12,20200302,1
Special#12,20200306,1
Special#12,20200309,1
Special#12,20200313,1
Special#12,20200316,1
Special#12,20200320,1
Special#12,20200323,1
Special#12,20200327,1
Special#12,20200330,1
Special#12,20200403,1
Special#12,20200406,1
Special#12,20200417,1
Special#12,20200420,1
Special#12,20200424,1
Special#12,20200427,1
Special#12,20200504,1
Special#12,20200508,1
Special#12,20200511,1
Special#12,20200515,1
Special#12,20200518,1
Special#12,20200522,1
Special#12,20200525,1
Special#12,20200529,1
Special#12,20200605,1
Special#12,20200608,1
Special#12,20200612,1
Special#12,20200615,1
Special#12,20200619,1
Special#12,20200622,1
Special#12,20200626,1
Special#12,20200629,1
Special#12,20200703,1
Special#12,20200706,1
Special#12,20200710,1
Special#12,20200713,1
Special#12,20200717,1
Special#12,20200720,1
Special#12,20200724,1
Special#12,20200727,1
Special#12,20200731,1
Special#12,20200803,1
Special#12,20200807,1
Special#12,20200810,1
Special#12,20200814,1
Special#12,20200817,1
Special#12,20200821,1
Special#12,20200824,1
Special#12,20200828,1
Special#12,20200831,1
Special#12,20200904,1
Special#12,20200907,1
Special#13,20200204,1
Special#13,20200205,1
Special#13,20200206,1
Special#13,20200211,1
Special#13,20200212,1
Special#13,20200213,1
Special#13,20200218,1
Special#13,20200219,1
Special#13,20200220,1
Special#13,20200303,1
Special#13,20200304,1
Special#13,20200305,1
Special#13,20200310,1
Special#13,20200311,1
Special#13,20200312,1
Special#13,20200317,1
Special#13,20200318,1
Special#13,20200319,1
Special#13,20200324,1
Special#13,20200325,1
Special#13,20200326,1
Special#13,20200331,1
Special#13,20200401,1
Special#13,20200402,1
Special#13,20200421,1
Special#13,20200422,1
Special#13,20200423,1
Special#13,20200428,1
Special#13,20200429,1
Special#13,20200430,1
Special#13,20200505,1
Special#13,20200506,1
Special#13,20200507,1
Special#13,20200512,1
Special#13,20200513,1
Special#13,20200514,1
Special#13,20200519,1
Special#13,20200520,1
Special#13,20200526,1
Special#13,20200527,1
Special#13,20200528,1
Special#13,20200616,1
Special#13,20200617,1
Special#13,20200618,1
Special#13,20200623,1
Special#13,20200624,1
Special#13,20200625,1
Special#13,20200630,1
Special#13,20200701,1
Special#13,20200702,1
Special#13,20200707,1
Special#13,20200708,1
Special#13,20200709,1
Special#13,20200714,1
Special#13,20200715,1
Special#13,20200716,1
Special#13,20200721,1
Special#13,20200722,1
Special#13,20200723,1
Special#14,20200203,1
Special#14,20200204,1
Special#14,20200206,1
Special#14,20200210,1
Special#14,20200211,1
Special#14,20200213,1
Special#14,20200217,1
Special#14,20200218,1
Special#14,20200220,1
Special#14,20200302,1
Special#14,20200303,1
Special#14,20200305,1
Special#14,20200309,1
Special#14,20200310,1
Special#14,20200312,1
Special#14,20200316,1
Special#14,20200317,1
Special#14,20200319,1
Special#14,20200323,1
Special#14,20200324,1
Special#14,20200326,1
Special#14,20200330,1
Special#14,20200331,1
Special#14,20200402,1
Special#14,20200420,1
Special#14,20200421,1
Special#14,20200423,1
Special#14,20200427,1
Special#14,20200428,1
Special#14,20200430,1
Special#14,20200504,1
Special#14,20200505,1
Special#14,20200507,1
Special#14,20200511,1
Special#14,20200512,1
Special#14,20200514,1
Special#14,20200518,1
Special#14,20200519,1
Special#14,20200525,1
Special#14,20200526,1
Special#14,20200528,1
Special#14,20200615,1
Special#14,20200616,1
Special#14,20200618,1
Special#14,20200622,1
Special#14,20200623,1
Special#14,20200625,1
Special#14,20200629,1
Special#14,20200630,1
Special#14,20200702,1
Special#14,20200706,1
Special#14,20200707,1
Special#14,20200709,1
Special#14,20200713,1
Special#14,20200714,1
Special#14,20200716,1
Special#14,20200720,1
Special#14,20200721,1
Special#14,20200723,1
Special#15,20200427,1
Special#15,20200428,1
Special#15,20200429,1
Special#15,20200430,1
Special#15,20200504,1
Special#15,20200505,1
Special#15,20200506,1
Special#15,20200507,1
Special#15,20200508,1
Special#15,20200511,1
Special#15,20200512,1
Special#15,20200513,1
Special#15,20200514,1
Special#15,20200515,1
Special#15,20200518,1
Special#15,20200519,1
Special#15,20200520,1
Special#15,20200522,1
Special#15,20200525,1
Special#15,20200526,1
Special#15,20200527,1
Special#15,20200528,1
