stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
de:09375:13045:0:2,,Obertr. Abzw. Niedertr.,48.9631852,12.1686507,,
de:09375:13045:0:3,,Obertr. Abzw. Niedertr.,48.96348,12.1697646,,
de:09375:13050:0:1,,Obertraubling Kirche,48.9662991,12.1652191,,
de:09375:13050:0:2,,Obertraubling Kirche,48.9667414,12.1655155,,
de:09375:13050:0:3,,Obertraubling Kirche,48.9661753,12.1657581,,
de:09375:13051:0:1,,Barbing West,49.0046356,12.190318,,
de:09375:13051:0:2,,Barbing West,49.0047299,12.190354,,
de:09375:13052:0:1,,Neutraubling Hartinger Straße,48.9816714,12.1854761,,
de:09375:13052:0:2,,Neutraubling Hartinger Straße,48.981807,12.1857366,,
de:09375:13054:0:1,,Barbing Regensburger Str.,49.0034864,12.1969296,,
de:09375:13054:0:2,,Barbing Regensburger Str.,49.0031859,12.1982412,,
de:09375:13060:0:1,,Neutraubling Keplerstraße,48.9856449,12.200451,,
de:09375:13060:0:2,,Neutraubling Keplerstraße,48.9859751,12.2000737,,
de:09375:131:0:1,,Elendhalbstraße,49.1479746,12.2149139,,
de:09375:131:0:2,,Elendhalbstraße,49.1479629,12.2149678,,
de:09375:132:0:1,,Eltheim,48.9856862,12.3104767,,
de:09375:132:0:2,,Eltheim,48.9855742,12.310315,,
de:09375:133:0:1,,Endlfeld,49.0580205,11.9241382,,
de:09375:133:0:2,,Endlfeld,49.0581912,11.9239406,,
de:09375:135:0:1,,Erlbach,49.1158698,12.2517179,,
de:09375:135:0:2,,Erlbach,49.1159345,12.2519514,,
de:09375:136:0:1,,Erlbach Herrenholz,49.1142352,12.2499841,,
de:09375:136:0:2,,Erlbach Herrenholz,49.1144586,12.2504782,,
de:09375:137:0:1,,Erlbach Nerl,49.1097427,12.2572066,,
de:09375:137:0:2,,Erlbach Nerl,49.1099956,12.2573144,,
de:09375:138:0:1,,Ettersdorf,49.0167559,12.3622645,,
de:09375:138:0:2,,Ettersdorf,49.0166262,12.3622645,,
